,name,medium,language,persons,appointments,time_comm,location,address,phone_no,website,hours,full_desc,desc_keywords,review_keywords
0,Peer Counseling Services,inperson,en fr,peers volunteers one-on-one,https://pscappointment.wixsite.com/pscbooking 5142983782,short-term,downtown,3471 Peel St ,5142983782,https://psc.ssmu.ca/,MF 9-5,"Confidential, non-judgmental, and here for you. The PSC is staffed by friendly and well-trained student peer supporters. We provide a welcoming space where you can share your experiences, feel truly listened to, and find ways to resolve the things you are going through. Stressed? Lonely? Feeling down? Or just want to chat? The PSC is ready to hear you out. If you need help but aren’t sure where to turn, our peer supporters are also happy to connect you with other resources. Drop-in or make an appointment to chat one-on-one with a supporter about anything on your mind.",,
1,Office for Students with Disabilities,inperson phone office,en fr,professional,https://mcgill.ca/osd/new-osd-students/first-appointment 5143986009,short-term,downtown,"1010 Sherbrooke Ouest, Suite 410",5143986009,https://mcgill.ca/osd/,MF 9-5,"The mission of the Office for Students with Disabilities (OSD) is to facilitate and support the inclusion of diverse learners. If you have or develop a disability during your academic career, assistance is available through the OSD, located in the Brown Building. It is important to contact the OSD early. An adviser will be able to meet you, either face to face or virtually, to explain how the office functions, describe what services are available, and to refer you to other resources if necessary.",,
2,Therapist Assisted Online ,online inperson,en,professional,no,long-term free-schedule,na,na,na,https://mcgill.ca/counselling/getstarted/tao,na,"Therapist Assisted Online (TAO) is an interactive, dynamic, and easy-to-access online program. It was designed for addressing issues related to anxiety and depression, which are the problems most commonly faced by students at McGill. TAO can provide resources and tools to promote healthy coping skills and help you bounce back from life’s disappointments and frustrations. As a TAO participant, each week you will watch short videos and complete skill-building exercises. TAO is tailored to fit your schedule and your needs. The exercises can be completed through a smartphone, tablet, or computer and the online programs are accessible 24/7. TAO is available to be completed as a stand-alone resource for preventative care or if you feel like you would require some additional support, you can schedule meetings with a clinician to briefly touch base as you progress through the online material.",,
3,Group Therapy,inperson phone office,en,peers professional group,https://mcgill.ca/wellness-hub/access-care/meet-counsellorpsychiatrist,short-term,downtown,na,na,https://mcgill.ca/wellness-hub/get-support/group-therapy,na,"This group will introduce participants to a variety of cognitive-behavioural therapy techniques to help manage anxiety and depression, including strategies for relaxation, improving mood, managing stress, and achieving more balanced thinking. Participants will learn and practice different mindfulness skills to help them manage painful thoughts and feelings more effectively, and be more present in their day to day lives. Appropriate for: Students experiencing mild to moderate anxiety and/or depression.",,
4,PhD Support Group,inperson,en,peers group,https://mcgill.ca/counselling/workshops/support-groups-0,long-term,downtown,Thomson House Rm 403,na,https://mcgill.ca/counselling/workshops/support-groups-0,na,"PhD Support Group. Do you find it challenging to balance life and academics?  Do you feel disconnected from others in your program?  Do you sometimes struggle to retain your focus and direction? Join our group for ideas, encouragement, motivation and a sense of connectedness.",,
5,Vent Over Tea,inperson,en fr,peers volunteers one-on-one,https://ventovertea-montreal.youcanbook.me,short-term free-schedule,downtown,na,na,https://ventovertea-montreal.youcanbook.me,na,"vent over tea is a free active listening service that pairs people who need to vent with an empathetic listener to chat in a local coffee shop. Based in Montreal and founded in April 2015 by McGill psychology graduates, our goal is to provide a casual, confidential and non-judgmental outlet for members of our community. Our program is based on studies that have shown the benefits derived from expressing one's self to a compassionate listener. We do not offer counselling, psychotherapy or advice. We provide you with a listening ear and a safe space to vent. We developped a unique training program with Stephane Bensoussan, holistic health and educational psychologist and director of PsySanté, that teaches our listeners how to actively listen and guide the conversation in a meaningful and empathetic way. Our volunteers can help you work through your problems by asking reflective questions and showing empathetic regard. All you need to do is select an available time and a coffee shop that you would like to meet in. One of our friendly volunteers will meet you there.",,
6,7 Cups,online paid,en,peers professional volunteers,no,short-term long-term free-schedule,na,na,na,https://www.7cups.com,na,"7 Cups is an on-demand emotional health service and online therapy provider. Anyone who wants to talk about whatever is on their mind can quickly reach out to a trained, compassionate listener through our network. We have hundreds of listeners who come from all walks of life and have diverse experiences. People connect with listeners on 7 Cups for all kinds of reasons, from big existential thoughts to small, day-to-day things that we all experience. Unlike talking to family or friends, a 7 Cups listener doesn’t judge or try to solve problems and say what to do. Our listeners just listen. They understand. They give you the space you need to help you clear your head.",,
7,McGill Student's Nightline,phone,en fr,peers volunteers,no,short-term free-schedule,na,na,5143986364,https://nightline.ssmu.ca,MS 6-3,"confidential, anonymous, and non-judgmental listening service run by McGill students. We aim to provide the community with a variety of support, which includes anything from information to crisis management and referrals. We are an English service.",,
8,Ecoute Entraide,phone,fr,professional ,no,short-term free-schedule,na,na,5142782130,http://www.ecoute-entraide.org,MS 8-12m,"Anonymous and confidential support line for mental health and more. Available 8 am to midnight, 7 days a week. French only.",,
9,Project 10 Listenting Line,phone,en fr,professional,no,short-term free-schedule,na,na,5149894585,https://p10.qc.ca/uncategorized/the-listening-line-has-returned,T-T 1-6,"The listening line provides an anonymous and easily accessible avenue for support and information for LGBITQ youths 14 to 25 and the wider community. It is one of the core services that we offer at Project 10. The listening line provides peer support, active listening, as well as information and referrals to LGBITQ services. The line may be particularly useful for people who are not ready to access services in person, or who live too far away to be able to make it to Project 10",,
10,DIAL Hotline,phone inperson,en,professional volunteers,no,short-term free-schedule,downtown,"680 Sherbrooke St. O, First floor",5143988500,http://www.sacomss.org/wp/services/drop-in-and-line/,na,"The Sexual Assault Centre of the McGill Students’ Society (SACOMSS) is a volunteer-run organization committed to supporting survivors of sexual assault and their allies through direct support, advocacy, and outreach. DIAL operates a confidential, non-judgemental sexual assault helpline and drop-in service, providing listening and support to survivors, their peers, and their allies.",,
11,SACOMSS Support Groups,inperson,en,professional volunteers,supportgroups@sacomss.org,long-term free-schedule,downtown,"3480 McTavish Street, B-27",5143988500,http://www.sacomss.org/wp/services/support-groups/,na,"The Sexual Assault Centre of the McGill Students’ Society (SACOMSS) is a volunteer-run organization committed to supporting survivors of sexual assault and their allies through direct support, advocacy, and outreach. SACOMSS’ Support Groups program provides a safe space for ongoing healing and empowerment of survivors of the English-speaking Montreal community. Meetings are confidential and free-of-charge. Three to ten members meet weekly with two trained co-facilitators, in a physically accessible, confidential location near McGill’s downtown campus. Since participation is open-ended, you are never forced to attend a set number of sessions. Each group will develop its own guidelines to protect everyone’s emotional safety and maintain respect for one another. From week to week, members determine the direction of discussion. You will never be judged. Through sharing, listening, and encouragement, you will both give and receive emotional support.",,
12,The Buddy Program ,inperson,all,peers,https://mcgillbuddyprogram.com,long-term free-schedule,all,na,na,https://mcgillbuddyprogram.com/#about,na,"To help you transition to your life in Montreal and McGill, the Buddy Program connects new international students with returning students. They provide the friendly face, helping hand, and first Montreal friendship that can make a world of difference for new arrivals. Buddies can also offer linguistic support, cultural guidance and information about life at McGill.",,
